trade_date,stock_name,ts_code,close,ma_short,ma_long,golden_cross,death_cross,signal,cash,shares,position_ratio,total_asset,strategy_nav,strategy_return,benchmark_nav,benchmark_return,cummax_nav,drawdown
2025-12-19,贵州茅台,600519.SH,1410.0,1417.6770000000001,1441.7543333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9960440802486579,-0.014675052410901501,1.0,0.0
2025-12-22,贵州茅台,600519.SH,1408.26,1416.681,1439.9530000000002,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9948149194687765,-0.0012340425531914834,1.0,0.0
2025-12-23,贵州茅台,600519.SH,1407.86,1417.366,1438.2486666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.994532353772252,-0.00028403845880742296,1.0,0.0
2025-12-24,贵州茅台,600519.SH,1400.9,1417.176,1436.107,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9896157106527269,-0.004943673376613944,1.0,0.0
2025-12-25,贵州茅台,600519.SH,1414.17,1417.394,1434.2333333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9989898276349253,0.009472481975872693,1.0,0.0
2025-12-26,贵州茅台,600519.SH,1414.13,1416.742,1432.8176666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9989615710652728,-2.828514252173342e-05,1.0,0.0
2025-12-29,贵州茅台,600519.SH,1402.0,1414.342,1430.5176666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9903927663181691,-0.008577712091533352,1.0,0.0
2025-12-30,贵州茅台,600519.SH,1389.72,1411.114,1427.6416666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9817179994348687,-0.008758915834522152,1.0,0.0
2025-12-31,贵州茅台,600519.SH,1377.18,1405.5220000000002,1424.514,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9728595648488274,-0.009023400397202397,1.0,0.0
2026-01-05,贵州茅台,600519.SH,1426.0,1405.0220000000002,1423.1436666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0073467081096354,0.035449251368739,1.0,0.0
2026-01-06,贵州茅台,600519.SH,1428.01,1406.8229999999999,1421.8573333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.008766600734671,0.0014095371669005097,1.0,0.0
2026-01-07,贵州茅台,600519.SH,1423.36,1408.333,1420.9026666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0054817745125741,-0.0032562797179293,1.0,0.0
2026-01-08,贵州茅台,600519.SH,1412.3,1408.777,1419.8243333333332,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9976688330036734,-0.007770346223021529,1.0,0.0
2026-01-09,贵州茅台,600519.SH,1419.1,1410.597,1418.8226666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.002472449844589,0.004814841039439299,1.0,0.0
2026-01-12,贵州茅台,600519.SH,1423.23,1411.503,1418.0203333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.005389940661204,0.0029102952575577046,1.0,0.0
2026-01-13,贵州茅台,600519.SH,1411.0,1411.19,1416.7036666666668,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.996750494489969,-0.00859312971199322,1.0,0.0
2026-01-14,贵州茅台,600519.SH,1398.01,1410.791,1415.0373333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9875741734953377,-0.009206236711552074,1.0,0.0
2026-01-15,贵州茅台,600519.SH,1388.89,1410.708,1413.4660000000001,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9811316756145805,-0.006523558486706049,1.0,0.0
2026-01-16,贵州茅台,600519.SH,1382.0,1411.19,1411.8960000000002,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9762644814919469,-0.004960796031363235,1.0,0.0
2026-01-19,贵州茅台,600519.SH,1376.0,1406.19,1410.2966666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9720259960440804,-0.004341534008682979,1.0,0.0
2026-01-20,贵州茅台,600519.SH,1373.55,1400.7440000000001,1408.4146666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9702952811528681,-0.001780523255814015,1.0,0.0
2026-01-21,贵州茅台,600519.SH,1351.06,1393.514,1406.1760000000002,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9544080248657814,-0.016373630373848758,1.0,0.0
2026-01-22,贵州茅台,600519.SH,1340.06,1386.2900000000002,1404.1443333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9466374682113592,-0.008141755362456204,1.0,0.0
2026-01-23,贵州茅台,600519.SH,1337.0,1378.08,1401.951,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9444758406329472,-0.002283479844186087,1.0,0.0
2026-01-26,贵州茅台,600519.SH,1342.0,1369.9569999999999,1399.618,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9480079118395027,0.0037397157816005944,1.0,0.0
2026-01-27,贵州茅台,600519.SH,1343.01,1363.158,1397.03,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.948721390223227,0.0007526080476900621,1.0,0.0
2026-01-28,贵州茅台,600519.SH,1323.69,1355.726,1393.6196666666665,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9350734670810964,-0.014385596533160627,1.0,0.0
