trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,ema_12,ema_26,dif,dea,macd_bar,bb_middle,bb_upper,bb_lower,bb_bandwidth,tr,atr_14,atr_pct,stock_name,ts_code,data_source
2026-03-27,406.12,418.33,401.73,416.18,402.5,13.68,3.4,302580,12465856864.0,76.89275893675529,398.65429246650865,386.0925611649534,12.561731301555255,11.129607840909806,2.864246921290899,384.78499999999997,437.676335077834,331.89366492216595,0.27491370546062877,16.599999999999966,17.01642857142857,4.08871848032788,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-30,413.0,418.85,405.6,413.0,416.18,-3.18,-0.76,253484,10440376424.0,69.6298673513051,400.86132439473806,388.08570478236425,12.775619612373816,11.458810195202608,2.6336188343424176,388.424,438.3361204138879,338.51187958611206,0.2569981278905934,13.25,16.372142857142855,3.9641992390176406,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-03-31,413.0,416.95,401.58,401.7,413.0,-11.3,-2.74,249256,10159878345.0,52.90697674418604,400.9903514109322,389.0941710947817,11.896180316150492,11.546284219392184,0.6997921935166147,391.30550000000005,436.9037638058203,345.7072361941798,0.23305710656160075,15.370000000000005,15.523571428571428,3.8644688644688645,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-01,409.73,409.87,396.0,405.71,401.7,4.01,1.0,231701,9384266504.0,55.868490631107015,401.7164511938657,390.324973235909,11.391477957956681,11.515322967105085,-0.24769001829680803,394.64599999999996,433.3464209959409,355.945579004059,0.19612726846815087,13.870000000000005,15.928571428571429,3.926097810892369,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-02,407.9,411.99,397.2,401.17,405.71,-4.54,-1.12,223056,8988161794.0,52.315894701766084,401.6323817794248,391.1283085517676,10.504073227657216,11.313073019215512,-1.6179995831165925,397.19199999999995,429.8177816038644,364.5662183961355,0.1642821688446113,14.79000000000002,16.25714285714286,4.052432349662951,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-03,400.0,400.8,385.13,386.46,401.17,-14.71,-3.67,247515,9640031385.0,38.247268052281974,399.29816919797486,390.78250791830334,8.51566127967152,10.753590671306714,-4.4758587832703896,398.7765,425.2198243192404,372.3331756807596,0.13262227999513707,16.04000000000002,16.247857142857146,4.204279134414208,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-07,389.98,393.2,381.49,384.59,386.46,-1.87,-0.48,172576,6675632984.0,38.88465308789891,397.03537393674793,390.32380362805867,6.711570308689261,9.945186598783224,-6.467232580187925,400.131,419.5013440178102,380.76065598218975,0.09682001153527334,11.70999999999998,15.981428571428571,4.155445687986836,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-08,396.5,397.65,388.22,391.3,384.59,6.71,1.74,364184,14315333338.0,44.38978438350431,396.1530087157098,390.3961144704247,5.756894245285082,9.107528128083596,-6.701267765597027,400.881,417.30350432854095,384.458495671459,0.0819320662667524,13.060000000000002,16.255,4.154101712241247,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-09,394.1,394.28,386.66,389.99,391.3,-1.31,-0.33,259552,10132744607.0,44.48756949543691,395.2048535286775,390.3660319170599,4.838821611617618,8.253786824790401,-6.829930426345566,400.54049999999995,417.58971109457156,383.49128890542835,0.08513102217913847,7.619999999999948,15.79928571428571,4.05120277809321,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
2026-04-10,394.0,419.0,392.68,416.0,389.99,26.01,6.67,507887,20752496341.0,51.37816979051819,398.4041068319579,392.26484436764804,6.139262464309866,7.830881952694295,-3.383238976768858,401.5655,419.7648990357663,383.3661009642337,0.0906422440960008,29.00999999999999,16.303571428571423,3.919127747252746,宁德时代,300750.SZ,AkShare 公开 A 股日行情接口（本地缓存）
